রুণু : 1
প্রাণ সমর্পিলাকর্মদোষে : 1
শৈলাকারে রহিলা : 1
দুজনেভূমিতলে যতা : 1
শৈল নীরব : 1
অচল সমরে : 1
পড়িল দৈত্য : 1
কন্দর্প অমনিদর্পে : 1
ধীর নাদিলা : 1
গম্ভিরে বহি : 1
সে বিজয় : 1
নাদ আকাশ : 1
সম্ভবাপ্রতিধ্বনি রড়ে : 1
ধনী ধাইলা : 1
আশুগামহারঙ্গে তুঙ্গ : 1
শৃঙ্গে পর্ব্বতকন্দরে : 1
পশিল স্বর : 1
তরঙ্গ যথা : 1
কাম্যবনেদেব দল : 1
কতক্ষণে উতরিলা : 1
তথানিরাকারা দূতী : 1
উঠ কহিলা : 1
সুন্দরী শীঘ্র : 1
করি উঠ : 1
ওহে দেবকুলপতি : 1
ভ্রাতৃভেদে ক্ষয় : 1
আজ দানব : 1
দুর্জ্জয় যথা : 1
স্পর্শে বারুদ : 1
কণিক রাশি : 1
ইরম্মদরূপে উঠয়ে : 1
নিমিষেগরজি পবন : 1
মার্গে উঠিলা : 1
তোমতিদেবসৈন্য শূণ্যপথে : 1
রতনে খচিতধ্বজদণ্ড : 1
ধরি করে : 1
চিত্ররথ রথীউন্মীলিলা : 1
দেবকেতু কৌতুকে : 1
আকাশে শোভিল : 1
সে কেতু : 1
শোভে ধূমকেতু : 1
যথাতারাশির তেজে : 1
ভস্ম করি : 1
সুররিপু বাজাইল : 1
রণবাদ্য বাদ্যকর : 1
দলনিক্কণে চলিলা : 1
সবে জয়ধ্বনি : 1
করি চলিলেন : 1
বায়ুপতি খগপতি : 1
যথাহেরি দূরে : 1
নাগবৃন্দ ভয়ঙ্কর : 1
গতি সাপটি : 1
প্রচণ্ড দন্ড : 1
চলিলা হরষেশমন : 1
চলিলা ধনুঃ : 1
টঙ্কারিয়া রথীসেনানী : 1
চলিলা পাশি : 1
অলকার পতি : 1
গদা হস্তে : 1
স্বর্ণরথে চলিলা : 1
বাসব ত্বিষায় : 1
জিনিয়া ত্বিষাম্পতি : 1
দিনমণি চলে : 1
বাসবীয় চমূ : 1
জীমূত যেমতিঝড় : 1
সহ মহা : 1
রড়ে কিম্বা : 1
চলে যথাপ্রমথনাথের : 1
সাথে প্রমথের : 1
কুলনাশিতে প্রলয়কালে : 1
যবে রবে : 1
শিঙ্গাধ্বনি ঘোর : 1
নাদে দেবসৈন্য : 1
প্রবেশিল আসিদৈত্যদেশে : 1
যে যেখানে : 1
আছিল দানব : 1
হতাশ তরাসে : 1
ঘোর রণেমরিল : 1
মুহুর্তে আহা : 1
যত নদ : 1
নদীপ্রস্রবণ রক্তময় : 1
হইয়া বহিল : 1
শৈলাকার শবরাশি : 1
গগন পরশে : 1
শকুনি গৃধিনী : 1
যত বিকট : 1
মুরতি যুড়িয়া : 1
আকাশদেশ উড়ে : 1
ঝাঁকে ঝাঁকেমাংসলোভে : 1
বায়ুসখা সুখে : 1
বায়ু সহশত : 1
শত দৈত্যপুরী : 1
লাগিলা দহিতে : 1
মরিল দানব : 1
শিশু দানব : 1
বনিতা হায় : 1
ঘোর বাত্যা : 1
দলে তরু : 1
দলেবিপিনে নাশে : 1
কুসুম কাঞ্চন : 1
কান্তি বিধির : 1
বিলাপী বিলাপধ্বনি : 1
জয়নাদ সহমিশিয়া : 1
পূরিল বিশ্ব : 1
মারিলা যম : 1
বর্ণিতে কত : 1
যে চূর্ণিলা : 1
ভাঙ্গি তুঙ্গ : 1
শৃঙ্গ বলীপ্রভঞ্জন : 1
তীক্ষ্ণ শরে : 1
কাটিলাসেনানী কত : 1
যে যূতনাথ : 1
গদাঘাতেনাশিলা অলকানাথ : 1
প্রচেতাপাশী হায় : 1
কে বর্ণিবে : 1
এত দানব : 1
কুল নিধনে : 1
নিধিশচিকান্ত নিতান্ত : 1
কাতর হয়ে : 1
মনেদয়াময় ঘোর : 1
নাদে শঙ্খ : 1
নিনাদিলা রণভূমে : 1
দেবসেনা ক্ষান্ত : 1
দিয়া রণেঅমনি : 1
বিনতভাবে বেড়িলা : 1
বাসবে কহিলেন : 1
সুনাসীর গম্ভীর : 1
বচনে সুন্দ : 1
উপসুন্দাসুর হে : 1
শূরেন্দ্র রথি : 1
যমালয়ে গেছে : 1
দোঁহে চলিঅকালে : 1
কপালদোষে আর : 1
কারে ডরি : 1
তবে বৃথা : 1
প্রাণিহত্যা কর : 1
নীচের শরীরে : 1
বীর কভু : 1
কি প্রহারে : 1
অস্ত্র উচ্চ : 1
তরু সেই : 1
ভস্ম ইরম্মদে : 1
নিজালয়ে দিতিসুত : 1
যত বিষহীন : 1
ফণী দেখি : 1
কে মারে : 1
তাহারে আনহ : 1
চন্দনকাষ্ঠ কেহ : 1
কেহ ঘৃত : 1
আইস সবে : 1
দানবের প্রেতকর্ম্ম : 1
করিযথা বিধি : 1
বীর কুলে : 1
সামান্য সে : 1
নহে তোমা : 1
সবা যার : 1
শরে কাতর : 1
সমরে বিশ্বনাশী : 1
বজ্রাগ্নিরে অবহেলা : 1
করি জিনিল : 1
যে বাহুবলে : 1
দেবকুলরাজে কেমনে : 1
তাহার দেহ : 1
আজিখেচর ভূচর : 1
জীবে বীরশ্রেষ্ঠ : 1
যারা বীরারি : 1
পূজিতে রত : 1
সতত জগতে : 1
এতেক কহিলা : 1
